ID,Sex,Used,JulianDay,Easting,Northing,elevation,shrub,pfg,afg,tree
374,M,1,105,651226.0309,5282095.209,687,0,54,0,0
374,M,1,106,650235.2282,5282331.974,631,1,23,1,1
374,M,1,108,651890.696,5281378.555,605,0,88,0,0
374,M,1,109,652059.7169,5281550.897,658,0,51,1,0
374,M,1,110,652562.1865,5281954.401,650,0,49,8,0
374,M,1,111,651799.5993,5281645.301,625,0,66,1,0
374,M,1,113,650757.2783,5281924.009,613,0,15,6,0
374,M,1,115,651475.6285,5282518.738,686,0,80,0,0
374,M,1,116,651903.1957,5283315.03,654,0,81,5,0
374,M,1,117,652978.613,5282713.785,687,5,14,1,5
374,M,1,118,651813.1433,5281845.831,662,1,25,3,1
374,M,1,124,651458.8306,5281664.218,642,0,73,3,0
374,M,1,125,652102.9564,5281936.811,706,0,87,2,0
374,M,1,126,652618.4415,5282214.996,714,4,22,7,4
374,M,1,127,651988.5295,5282032.795,697,0,89,3,0
374,M,1,128,651724.7664,5282382.887,694,7,70,5,7
374,M,1,129,651996.1473,5281511.424,646,0,52,2,0
374,M,1,130,652741.9707,5282115.927,707,0,61,4,0
374,M,1,132,652908.0185,5281685.461,662,0,25,3,0
374,M,1,133,651279.4007,5281545.004,637,0,46,0,0
374,M,1,134,652650.2868,5282203.599,705,4,22,10,4
