Created Date,Name,Species,Primary Breed,Sex,Age (Months),Age Group,Primary Color,Days in Custody,Days on Site,Current Weight,Attributes
03/16/2020,Snowy,Dog,"Poodle, Miniature",Male,90,Adult Dog (5 months-8 years),White,1,1,,
03/16/2020,Gary,Dog,"Poodle, Miniature",Male,89,Adult Dog (5 months-8 years),White,1,1,,
03/16/2020,Gary,Dog,"Poodle, Miniature",Male,89,Adult Dog (5 months-8 years),White,1,1,,
02/26/2020,Finn (Caspian),Cat,Domestic Medium Hair,Male,29,Young adult (1-5 years),Orange,1,1,,
01/27/2020,Kai,Dog,Retriever,Female,83,Adult Dog (5 months-8 years),Tan,1,1,36.6 lbs,
01/27/2020,Kai,Dog,Retriever,Female,83,Adult Dog (5 months-8 years),Tan,2,2,36.6 lbs,
03/03/2020,Bobo,Cat,Domestic Medium Hair,Male,29,Young adult (1-5 years),Orange,1,1,,
02/07/2020,Toothless,Cat,Domestic Medium Hair,Female,37,Young adult (1-5 years),Black,1,1,,
03/06/2020,Diamond,Dog,"Husky, Siberian",Female,63,Adult Dog (5 months-8 years),White,1,1,,
09/21/2020,Petunia,Cat,Domestic Shorthair,Female,195,Senior (10+years),Apricot,114,114,6.3 lbs,
09/21/2020,Petunia,Cat,Domestic Shorthair,Female,195,Senior (10+years),Apricot,1,1,6.3 lbs,
09/21/2020,Petunia,Cat,Domestic Shorthair,Female,195,Senior (10+years),Apricot,1,1,6.3 lbs,
09/21/2020,Petunia,Cat,Domestic Shorthair,Female,195,Senior (10+years),Apricot,1,1,6.3 lbs,
04/23/2020,Nala,Cat,Domestic Shorthair,Female,27,Young adult (1-5 years),Black,80,80,11 lbs,"Only Cat Home,URGENT NEED"
04/23/2020,Nala,Cat,Domestic Shorthair,Female,27,Young adult (1-5 years),Black,3,3,11 lbs,"Only Cat Home,URGENT NEED"
04/23/2020,Nala,Cat,Domestic Shorthair,Female,27,Young adult (1-5 years),Black,2,2,11 lbs,"Only Cat Home,URGENT NEED"
04/15/2021,Candy,Dog,"Chihuahua, Short Coat",Female,29,Adult Dog (5 months-8 years),White,6,6,10.8 lbs,"D2D Required,Kids under 12 meet first,No kids under 6"
03/20/2020,Roo,Dog,"Chihuahua, Short Coat",Female,122,Senior (8+years),Brown,1,1,11.9 lbs,
03/20/2020,Roo,Dog,"Chihuahua, Short Coat",Female,122,Senior (8+years),Brown,1,1,11.9 lbs,
03/20/2020,Roo,Dog,"Chihuahua, Short Coat",Female,122,Senior (8+years),Brown,1,1,11.9 lbs,
03/20/2020,Roo,Dog,"Chihuahua, Short Coat",Female,122,Senior (8+years),Brown,1,1,11.9 lbs,
03/20/2020,Roo,Dog,"Chihuahua, Short Coat",Female,122,Senior (8+years),Brown,1,1,11.9 lbs,
03/20/2020,Roo,Dog,"Chihuahua, Short Coat",Female,122,Senior (8+years),Brown,1,1,11.9 lbs,
03/20/2020,Roo,Dog,"Chihuahua, Short Coat",Female,122,Senior (8+years),Brown,1,1,11.9 lbs,
03/20/2020,Roo,Dog,"Chihuahua, Short Coat",Female,122,Senior (8+years),Brown,1,1,11.9 lbs,
03/20/2020,Roo,Dog,"Chihuahua, Short Coat",Female,122,Senior (8+years),Brown,1,1,11.9 lbs,
01/20/2020,Malcolm,Cat,Domestic Shorthair,Male,26,Young adult (1-5 years),Black,68,68,,
01/20/2020,Malcolm,Cat,Domestic Shorthair,Male,26,Young adult (1-5 years),Black,1,1,,
01/20/2020,Malcolm,Cat,Domestic Shorthair,Male,26,Young adult (1-5 years),Black,1,1,,
01/20/2020,Malcolm,Cat,Domestic Shorthair,Male,26,Young adult (1-5 years),Black,1,1,,
